OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu01469,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01471,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(55),Bacteroidales(55),Bacteroidales_unclassified(55),Bacteroidales_unclassified(55),
Otu01478,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01479,1.6e-05,0,7e-06,0,0,0,0.304197,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridia_unclassified(91),Clostridia_unclassified(91),Clostridia_unclassified(91),
Otu01489,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteria_unclassified(82),Bacteria_unclassified(82),Bacteria_unclassified(82),Bacteria_unclassified(82),Bacteria_unclassified(82),
Otu01492,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
Otu01499,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu01513,1.2e-05,0,6e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Shuttleworthia(64),
Otu01514,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01520,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Enterobacteriales(100),Enterobacteriaceae(100),Escherichia/Shigella(100),
Otu01528,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01535,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(61),Bacteroidetes_unclassified(61),Bacteroidetes_unclassified(61),Bacteroidetes_unclassified(61),
Otu01548,1.6e-05,0,7e-06,0,0,0,0.304197,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01550,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Proteobacteria(80),Proteobacteria_unclassified(80),Proteobacteria_unclassified(80),Proteobacteria_unclassified(80),Proteobacteria_unclassified(80),
Otu01556,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01557,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01558,1.2e-05,0,6e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01562,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Proteobacteria(80),Proteobacteria_unclassified(80),Proteobacteria_unclassified(80),Proteobacteria_unclassified(80),Proteobacteria_unclassified(80),
Otu01563,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01564,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Proteobacteria(80),Proteobacteria_unclassified(80),Proteobacteria_unclassified(80),Proteobacteria_unclassified(80),Proteobacteria_unclassified(80),
Otu01565,1.2e-05,0,6e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(61),Bacteroidales(61),Bacteroidales_unclassified(61),Bacteroidales_unclassified(61),
Otu01566,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
Otu01568,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01570,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(90),Porphyromonadaceae_unclassified(90),
Otu01572,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
Otu01576,1.2e-05,0,6e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
Otu01578,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01583,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(70),Bacteroidetes_unclassified(70),Bacteroidetes_unclassified(70),Bacteroidetes_unclassified(70),
Otu01589,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01590,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01595,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01602,1.2e-05,0,9e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(70),Bacteroidales(70),Bacteroidales_unclassified(70),Bacteroidales_unclassified(70),
Otu01603,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Oscillibacter(70),
Otu01604,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01605,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(80),Bacteroidales_unclassified(80),
Otu01606,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01613,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01616,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Tenericutes(100),Mollicutes(100),Anaeroplasmatales(100),Anaeroplasmataceae(100),Anaeroplasma(100),
Otu01629,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01630,1.2e-05,0,9e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(67),Clostridiales_unclassified(67),
Otu01642,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(89),
Otu01653,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Bifidobacteriales(100),Bifidobacteriaceae(100),Bifidobacterium(100),
Otu01654,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01659,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01666,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01670,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01689,1.2e-05,0,6e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Turicibacter(100),
